序号,标注结果（0：假粉：机器、低活跃。1：真粉）,昵称,总获赞,关注数,粉丝数,作品,动态,喜欢,是否有签名？,个性签名
205,0,用户1385757384249,0,20,0,0,0,153,0,
206,1,C.P甜品订制,107,77,24,30,30,184,0,
207,1,...繁花°似景,0,2503,118,0,0,10232,0,
208,1,????,0,246,3,0,0,309,0,
209,1,启航,0,114,27,0,0,17866,0,
210,1,敏敏66666,361,253,73,82,82,586,0,
211,0,Adelaide.,1,578,1,0,0,0,0,
212,1,大仙,1383,109,398,16,16,949,1,记录美好生活～
213,1,亲爱的xiao,106,109,134,31,31,56,1,遇对我亲爱的
214,1,金雨宝贝,501,514,48,144,152,1089,1,谢谢你的关注
215,1,——｛莼黑色.,4,689,19,1,2,6015,0,
217,1,帅嘟,55,51,45,16,20,184,1,心存念想  静承天命
218,1,真冷,2,128,21,0,1,487,0,
219,1,忘情冷雨夜,0,60,3,0,0,63,1,从我拿起智慧权杖那一天我就知道，终有一天我会成为智障人士。
220,1,??抖音小王子??,290,909,59,28,29,12361,0,
221,1,用户454438052002,231,139,51,25,25,327,0,
222,1,雨熙,67,91,37,14,14,1447,1,来啊来啊，互相伤害啊
223,1,似水年华,15,83,20,7,7,5422,1,感情不是电影 不需要太过入戏
224,1,那年，雨天,354,182,45,123,124,5683,0,
225,1,全糖千纸鹤,0,2066,30,0,0,3614,0,
226,1,贤子,0,262,7,0,0,518,0,
227,1,风雨过之后，彩虹现。,258,2751,406,20,21,64038,0,
228,1,手机用户74187088525,22,108,52,1,1,71,0,
229,1,甜甜,40,274,14,9,9,128,1,健康幸福生活每一天
230,1,&nbsp,0,64,3,0,0,14703,0,
232,0,梦蒙萌懵,0,7,1,0,0,3,0,
233,0,卿佐男神,1,71,6,0,2,23,1,友交诚朋，能量满满。共赢！
234,0,用户8859601065167,0,7,0,0,0,216,0,
235,0,此号已注销,0,51,60,0,0,1,0,
236,0,黙繎,0,127,14,0,0,132,0,
237,0,幻影听涛,11,25,21,4,5,33,0,
238,1,雨馨,0,265,12,0,0,1637,0,
239,1,雅顺美发,43,32,41,8,8,192,1,不积跬步 无以至千里。不积小流    无以成江海。
241,1,用户1119454094441CoCo,207,389,101,61,62,462,1,各位朋友本人不加微信 不私聊 不是我有多高冷 对不起
242,0,詹妮弗大卫,0,1428,0,0,0,0,1,这家伙很懒！
285,1,超级达人研究社,87,1652,48,3,19,0,1,"100万以上粉丝??超级达人??
请看??我的关注列表?
100万以上约3500人
500万以上约500人
1000万以上约150人
每月一次500万以上排名??"
286,1,一生一世,18,38,21,2,2,134,0,
287,0,Betrayal Rampant,0,52,2,0,0,224,0,
288,0,jacky,0,509,2,0,0,64,0,
289,1,JamesChaneUSA,635565,97,176866,327,1924,329,1," 美国出生的中国人 Silicon Valley,  CA
~ 14年以上英语教练
~ 在学校和大学发表了1500多篇演讲
~ 超过8000小时的志愿者
~ 许多报纸和杂志都刊登了他的特写
~上过几十个电视和广播节目
~ 媒体主持人~ 李阳的顶级外籍教练"
290,1,晞宝子,323,120,58,68,73,11505,1,愿你平安喜乐，健康快乐成长！！！
291,1,航戈尔戈,87,179,31,4,6,135,1,"记录美好生活
早睡早起
当代恶臭年轻人的反面教材
自古关注和赞难两全"
292,1,哈哈哈,208,352,88,42,330,158,1,玩抖音我很纯真
293,0,终究只是一时的过客,1,404,82,0,0,422,1,手握钞票，掌握时机，抓住机遇，就能横扫一切！
294,1,罗镇！,84,237,213,10,13,6747,1,我说我不帅别人说我不诚实
295,0,LIyF.,0,356,10,0,0,0,0,
296,0,问鼀,0,60,0,0,0,79,0,
297,1,Sharaku Hosuke,82,157,18,10,10,1740,1,三眼吾神大显神威，天地共鸣所向无敌，赐我力量势如破竹！来吧，神鹰肥膘！
298,0,猪大福,0,43,15,0,0,3,0,
299,0,瑞哥,0,111,5,0,0,168,0,
300,0,港湾,0,20,10,0,0,95,0,
301,1,洛阳绿森林,0,214,58,0,0,418,0,
302,0,用户5403452531116,1,2,0,1,1,6,0,
303,0,梦魇53385,0,23,1,0,0,65,0,
304,1,用户7339211561,0,202,16,0,6,408,0,
305,1,毒毛旋花子苷K,0,110,54,0,0,2960,1,崇德，研学，精业。
306,1,天狼星??,241,2190,89,27,30,1205,1,该用户关注了你 成熟稳重担当
307,1,ShuoWang星空,40,487,78,20,21,193,0,
308,0,..,0,28,0,0,0,0,0,
309,1,DUKE,25,363,30,4,4,7099,1,想让全世界都知道我很低调
310,1,言辞,0,411,25,0,0,0,0,
311,0,丁占春,0,119,0,0,0,3,0,
312,1,Xirrrr24,68,97,67,3,3,677,1,Doctor
313,1,鸭总,250,316,58,85,86,372,0,
314,1,九门提督,33,95,43,10,12,0,1,灯笼易碎，恩宠难回
315,0,用户2482415625472,0,183,0,0,0,0,0,
316,1,THE-BLOCK,20,142,38,5,11,284,1,开心就好
317,0,合家欢,0,46,0,0,0,0,0,
318,1,颖尒,7,206,15,5,7,4022,1,人生交契无老少，论交何必先同调。你愿诉说，我愿做倾听者。
319,1,用户6352433557582,38,1557,221,2,2,16,0,
320,1,CHPAR ADON,138,3135,242,2,2,3253,0,
321,1,Lucas,1,323,9,0,1,330,0,
322,1,鱼吉崽家,41349,35,274,19,19,1220,1,鱼吉崽动物园
323,0,道,0,115,1,0,0,19,0,
324,0,用户5463397363809,0,29,1,0,0,0,0,
325,1,小白,549,1367,69,24,42,2081,1,人生若只如初见
326,1,贾宁,0,627,57,0,0,1,0,
327,1,闪亮的星,3083,1519,1582,64,71,7197,1,来自云南红河州山卡卡【单身汉】在外打工不易  不嫌弃的互相关注一下 谢谢????
328,1,用户8652883812792,0,31,1,0,0,651,0,
329,1,雪域之子,18,31,13,3,3,214,0,
330,1,鲁班八号,149,91,318,26,27,32,1,只有星星够不着
331,0,千纸河畔,6,65,1,4,5,48,1,你好
332,0,荨小苒,0,23,8,0,0,36,0,
333,0,ponyst,0,48,0,0,0,0,0,
334,1,用户536356662936,0,268,7,0,0,3512,0,
335,0,雪绒花,0,35,1,0,0,24,0,
336,1,鑫启点轮滑教练-唐 杰,14812,818,1001,54,54,496,1,没有经历风雨人生，怎能站上绚丽舞台！
337,0,城北,0,62,7,0,1,333,0,
338,1,娜娜,0,82,4,0,0,478,0,
339,1,项小芹__,160,172,55,52,52,348,1,"既然没有狠下心让两个宝贝当留守儿童，那就好好带她们，带好她们??
想学的、要学的很多很多，跟宝贝一起学习??加油加油加油????"
340,1,伯爵,0,636,17,0,0,92,0,
341,1,5G时代科技网,1001,535,298,6,33,398,1,选择大如努力   所以选择不对  努力白费
342,1,因为你是唯一,21,2596,30,4,4,31383,0,
343,1,用户6194955130723,1,449,5,0,2,3147,0,
344,1,低调,123,307,91,16,16,410,1,互联网时代
345,1,大宝姑娘,37,278,17,16,16,1240,1,抖音记录创业，考研，减肥点滴，记录生活八叽事事??
346,1,？？？？？,35,76,13,4,4,357,1,相信自己
347,1,随时起飞的翼,13,269,34,9,9,367,0,
348,0,ffggghh,0,30,0,0,0,60,0,
349,0,已重置,0,18,0,0,0,64,0,
350,1,我叫??陈三水??,119,340,43,18,18,50,0,
351,0,奇才,0,34,0,0,0,391,0,
352,1,猪肝,0,512,32,0,0,350,0,
353,1,安逸。,13,29,45,1,1,231,0,
354,1,文武哥,93,110,34,16,16,1038,0,
355,1,优秀的坏蛋,42,338,71,1,1,918,1,无语
356,1,陆健华,224,138,48,11,14,1056,1,健康美丽，皇帝内径。中医现代化的提纯工艺
357,1,麻药鑫,124515,388,44295,86,86,8176,1,"健身教练培训师  分享训练
关注我一起变有质量的玩家??
nasm ace  ptag cscs fms mbsc ……"
358,1,用户7718411678968,0,201,6,0,0,4684,0,
359,0,独狼,0,89,1,0,0,138,1,"余生在世,莫留遗憾!"
360,1,田骐玮314,128,119,54,24,24,571,0,
361,1,关于张楠,16,153,24,14,14,0,1,喂心：13140135176
362,1,博诺思～行走的世界,960,1092,537,133,168,0,1,做一个用生命影响生命的人，让更多人因我的存在而更加幸福和美好
363,1,用户1173779058767,0,4429,113,0,0,2698,0,
364,1,龚龙,0,88,32,0,0,147,0,
365,1,水晶杯,78,57,12,9,9,58,0,
366,1,淇铭贝,0,910,10,0,0,1810,0,
367,0,用户3051088560015,0,40,2,0,0,22,0,
368,0,Uku酒塞Lele,0,18,5,0,0,109,1,让什么来填充空虚寂寞的灵魂呢？
369,1,Macd,48,306,41,2,6,0,0,
370,1,以后的你,13,213,116,1,1,90,0,
371,0,恩,1,12,5,0,2,649,0,
372,1,拉面捕快,0,184,18,0,0,1261,0,
373,1,静偌思惜拒绝闲聊,1430,3009,1503,24,24,300,1,天远惠山下，冷月拌清吟，爱人已渐过，依稀离乡情，小坐静忧思，冒然长叹惜！
374,1,娱乐分享一一啊亮,58,456,23,15,16,86,1,生活，不是生存，不是两点一线，不是周而复始。生活，甚至不是一个态度，而是一个决定。80后已不再年轻，陪伴一生有在何方，有缘加微176630061
375,0,咳,0,244,9,0,0,0,0,
376,1,cloud,0,315,1,0,0,723,0,
377,1,52013146,45,1283,329,1,1,493,0,
378,1,一见钟情,1149,832,286,30,32,5793,1,喜欢友友留下你美丽爱心，语言！过好美一天。
379,1,超公子,0,190,31,0,0,178,0,
380,1,Davis Liu,50,404,108,10,21,89,0,
381,1,Flora,14,94,7,3,3,52,0,
382,1,东方圣达文化酒店,3127,642,167,311,312,2043,1,"方圣达文化酒店，不但要做好酒店，还要做文化植根延伸，以文化自信、文化力量、的从容，鼓起奋发进取的勇气，焕发创新创造的活力。展现新企业竞争力，文化理念而发展，夺取新时代企业梦不懈奋斗。 
人生的美好在于不设限，梦想什么时候去做都不晚，年轻是一种心态，人生每一阶段不断尝试和修正的过程，人生每一段都是最美好的时光，现在就是最好的时候，重要的是让自己保持充实，以拼搏唯美，向行动致敬。"
383,1,记住你的好,864,1402,835,4,49,7947,1,据情在好，终久是戏
384,1,用户755446358,3406,4995,879,54,54,0,1,我们不一样
385,1,小仙女01,2,769,7,0,11,484,0,
386,1,用户7356591032857,3,460,6,1,1,99,0,
388,1,光阴故事,74,792,47,11,13,0,0,
389,1,大漠飞鹰卍,1196,1314,253,111,111,320,1,愿得一人心，白首不分离
390,1,前进！,0,125,10,0,0,1061,1,一直善良下去！
391,1,婚礼策划、主持,13,185,55,2,2,193,0,
392,1,钧天育哥,67,237,27,40,40,150,1,设计师奶爸??都说陪伴是最长情的告白！记录孩子成长过程的点点滴滴，让生活更加温暖！让生活简单又快乐！赞同的请点赞！
393,1,刘奥,29,20,2,24,24,258,0,
394,1,划船??♀?不用桨,112,438,98,30,31,0,1,V:358108420
395,1,Myue,25,102,14,6,6,56,1,? Stay young
396,0,夏晨,0,222,24,0,0,78,0,
397,1,云南旅游,0,233,6,0,0,261,1,想去云南旅游的宝宝+我哦
398,1,我可以输，但我不能怂？,0,45,23,0,0,410,0,
399,1,大唐教主,175,175,11,0,0,0,1,发现美好，吃喝玩乐，快乐分享！
400,1,张尹波,10,202,32,2,4,154,1,奔跑的年轻人
401,1,开心果??,64,678,104,19,43,412,1,开心就好??
402,0,阿华,51,62,14,7,7,0,1,牛奋男
403,1,森雾舟SDG,88,2072,53,15,35,6545,1,卓玛
404,1,用户6827116418651,0,2441,34,0,0,3920,0,
405,1,茅台李佑爵,43,192,12,17,17,416,1,本人吴道俊新抖音号
406,1,叫我哥哥就好,13,185,15,2,2,276,0,
407,1,萌叔叔,0,565,21,0,0,2307,0,
408,1,风车sherry,597,223,194,58,85,1943,1,人生苦短 必须性感
409,1,Nancy Peng,135,729,17,35,36,524,1,愿生活温柔以待。
410,1,米糕哥,21,26,22,22,22,20,1,【稻香水米糕】联赢人
412,1,姜夫人,151,1237,58,167,167,33371,0,
413,1,我的你的他的,59,1164,553,0,0,0,0,
414,1,珍珠姑娘,73,197,53,17,17,23750,0,
415,0,桃花朵朵开,0,12,0,0,0,5,0,
416,1,菩提本无树。,234,261,99,25,25,821,0,
417,0,书山有范儿,0,3,6,0,0,1,0,
418,1,枫叶飘零1,0,1147,13,0,0,292,0,
419,0,用户5734042281736,0,45,1,0,0,278,0,
420,0,63636363,0,24,5,1,1,29,0,
422,1,翰皇洗衣（上门取送）,1750,1592,1082,31,38,4683,1,有需要洗鞋、洗衣服、洗包、洗皮衣的私信我，可上门取送      胶南
423,1,绾姐,0,161,22,0,0,4191,0,
424,0,孙海强,7,220,41,8,9,66,0,
425,1,若辰,25,100,12,10,21,36,1,运动是良医的践行者。
426,1,baby,0,103,29,0,0,17109,0,
427,1,A$全网通手机卖场,17,356,126,1,1,751,0,
428,0,DC,0,29,2,0,0,11,0,
429,0,陳宇翔,0,31,22,0,0,41,0,
430,1,????&????,433,685,89,56,66,1966,1,嘻嘻哈哈
431,1,麦时,0,53,18,0,0,235,1,一个收麦子的
432,1,东山再起,247,969,293,17,17,804,1,从新再来
434,1,＊,0,86,25,0,0,1699,0,
435,0,昵称已重置,0,18,7,0,0,64,0,
436,1,走不动的孩子,0,567,33,0,2,3076,1,??????
438,1,素未谋面,2,725,22,0,4,1955,1,万般皆是命，半点不由人
439,0,三分热度的渣男孩,0,85,28,0,0,28,0,
440,1,豆儿??????,1941,1793,351,319,321,12681,1,点赞的都暴富。爆帅。爆美。天天好运相随财源滚滚????????????
441,1,小妮子95986,1244,1641,891,92,92,564,0,
442,1,用户3427733389490,6,200,3,1,1,267,1,"感恩抖音平台给予支持
学习让我们一起成长"
443,1,JK,9,253,1,0,0,273,0,
444,0,抹茶??,23,9,4,5,5,43,1,没有努力哪来的回报
445,0,用户639572803060,0,4,0,0,0,1,0,
447,1,体面,2,467,32,0,7,1890,1,愿我余生柔情，都给你
448,1,郑登峰,66,462,116,3,4,159,0,
449,0,我了个去,0,74,60,0,0,0,0,
450,0,风一样的彩虹,0,43,0,0,0,415,0,
451,0,ZERO,0,128,5,0,0,3,0,
452,1,?,421,2339,157,33,33,0,0,
453,0,安富强,26,53,40,0,0,0,1,刊石惟余西汉文字 行歌当约高阳酒徒
454,0,Yro,0,110,6,0,0,161,0,
455,1,用户5066295797439,54,2912,118,3,3,5271,0,
456,1,where are you,32,272,34,3,3,2518,1,别太关注我，就没什么东西
457,1,龙旺,67,1208,35,0,0,0,1,"微信名：龙旺
性别：女"
459,1,蛋蛋（正宗琯溪蜜柚出产地）,178,285,92,16,18,3251,1,谢谢大家关注，我的微信号13285087853想要吃柚子，可以加我微信
460,0,老谭家,328,103,51,0,0,0,0,
461,1,℡大白,56,323,32,1,109,960,1,空心
463,0,Vv,0,7,0,0,0,0,0,
464,1,平常心,97,300,59,14,17,1666,0,
465,1,100-1=0,30,41,14,4,4,127,0,
466,1,星星之火,30,372,19,0,52,694,0,
467,1,李晶23011,1,625,14,0,2,198,1,我要一杯不要咖啡不要奶不要糖的拿铁。
468,0,用户8736180504097,0,33,0,0,0,0,0,
469,0,Alisa,0,14,0,0,0,89,0,
470,1,巨石.强森,74,306,78,10,12,5096,1,刚做爸爸的男人
471,0,lei，,1,102,28,0,1,0,0,
472,0,用户4736268750630,0,4,0,0,0,4,0,
473,0,笑宝,0,206,0,0,0,200,0,
474,1,凯文??,32,363,31,4,4,350,0,
475,1,喵酱~,22,574,11,5,5,252,0,
476,0,杨,0,3,0,0,0,20,0,
477,1,用户475203164957,769,1455,254,18,18,5091,1,欢乐之城
478,1,奔波灞,0,539,20,0,0,210,0,
479,1,一个人的星期天,487,79,46,110,111,2498,0,
480,0,翡翠主,8,4,1,3,3,8,0,
481,1,南光太浪??,7,106,31,1,1,455,1,沧海一声笑，滔滔两岸潮
482,1,李晓龙,75,125,67,5,11,100,0,
483,1,霹雳小神龟在前进,8,1267,50,1,1,0,0,
484,1,zhl,10,126,6,2,2,445,0,
485,1,苝吡啶咯烷烯喋啶,0,2561,22,0,1,3131,0,
486,1,gkbg,21,84,25,1,1,1626,0,
487,1,步步高,1393,4993,503,871,873,42585,0,
488,1,白龙,271,249,96,12,13,1208,0,
490,0,凉兮,127,41,41,3,3,0,1,?:    18296209986
491,0,赖,0,94,1,0,0,95,0,
492,1,手机用户80621931491,0,279,5,0,0,6873,0,
493,1,☆爱就爱的彻底☆,0,2170,126,0,0,15054,1,看不惯我的人多了去了，你排哪儿我都看不到
494,1,DANA,61,338,20,17,17,4794,0,
495,1,爱笑的女孩,153,81,62,38,38,341,0,
496,1,潘锦宇,1,73,21,0,1,245,0,
497,0,梅佩群,0,6,0,0,0,2,0,
498,1,华仔,38,369,79,14,15,74,1,生命不止，奋斗不息
499,0,明月照心心,0,145,2,0,1,221,1,看得见的星星?看不见的回忆……
500,1,照亮你,40,120,20,4,4,5829,1,谢谢关注? 时间会变，初心不变。鹿晗是永远！！！！！！！
501,1,楠枫8号发型师(互相关，互相赞),2469,3485,2395,48,53,10051,1,喜欢的老铁请多关注和小红星。特长:无痕接发，脏辫，日韩系发型裁剪设计及烫染，网红造型，元素潮色，微潮色。维:chen4213qing
502,1,商业认知探路者,139853,8,630,19,23,1909,1,"商业思维洞察社会本质！
让您的人生价值倍增！
让好产品更好卖！
您身边的业绩首席增长官！
旨在：
帮你打造独一无二的商业模式以触动资本！
帮你的品牌找寻精准的定位以解决心智认知难题！
帮您营销5倍速增长让您品牌快速跻身独角兽行列！
每晚20：00-21：00直播！内容持续性更新！"
503,1,爱梦泪魂,4740,156,128,41,42,1306,1,爱读书    爱京剧    爱袓国
504,0,用户1903299802474,14,22,2,3,3,7,1,??? ??? ???
505,1,六六,353,6,25,15,15,616,0,
506,1,_君,0,695,16,0,0,6,0,
